Customer Name,State,Profit Margins
Donald Reynolds,Florida,39.57%
Donald Reynolds,Massachusetts,37.28%
Donald Reynolds,New Jersey,39.93%
Donald Reynolds,New York,31.99%
Donald Reynolds,Virginia,32.03%
Donald Stanley,Connecticut,36.04%
Donald Stanley,Florida,31.03%
Donald Stanley,Georgia,28.98%
Donald Stanley,New York,31.03%
Donald Stanley,South Carolina,46.05%
Douglas Diaz,Connecticut,39.46%
Douglas Diaz,Massachusetts,40.00%
Douglas Diaz,New York,41.04%
Douglas Foster,Connecticut,30.39%
Douglas Foster,Florida,17.99%
Douglas Foster,Georgia,18.02%
Douglas Foster,New Hampshire,37.01%
Douglas Foster,New York,28.00%
Douglas Foster,Rhode Island,28.18%
Douglas Franklin,Connecticut,31.99%
Douglas Franklin,Florida,48.04%
Douglas Franklin,Georgia,46.01%
Douglas Franklin,Massachusetts,39.93%
Douglas Franklin,New Hampshire,28.00%
Douglas Franklin,North Carolina,33.70%
Douglas Franklin,South Carolina,29.74%
Douglas Greene,Florida,48.40%
Douglas Greene,Georgia,18.02%
Douglas Greene,North Carolina,35.01%
Douglas Kennedy,Florida,46.01%
Douglas Kennedy,Georgia,39.30%
Douglas Kennedy,New Jersey,28.28%
Douglas Kennedy,New York,47.06%
Douglas Kennedy,North Carolina,32.18%
Douglas Kennedy,Virginia,41.04%
Douglas Perkins,Connecticut,23.02%
Douglas Perkins,Florida,37.95%
Douglas Perkins,New Hampshire,23.02%
Douglas Perkins,New Jersey,37.80%
Douglas Perkins,New York,25.99%
Douglas Perkins,Virginia,18.02%
Douglas Robinson,Connecticut,38.96%
Douglas Robinson,Georgia,17.99%
Douglas Robinson,Virginia,47.06%
Douglas Tucker,Florida,22.02%
Douglas Tucker,Georgia,37.80%
Douglas Wallace,Connecticut,49.00%
Douglas Wallace,Georgia,44.99%
Douglas Wallace,Maryland,36.04%
Douglas Wallace,New Jersey,17.99%
Douglas Wallace,New York,30.20%
Douglas Wallace,North Carolina,23.02%
Earl Franklin,Connecticut,37.01%
Earl Franklin,Georgia,47.06%
Earl Franklin,New York,28.18%
Earl Ortiz,Connecticut,47.06%
Earl Ortiz,Florida,39.61%
Earl Ortiz,Georgia,38.96%
Earl Ortiz,New York,47.06%
Earl Ortiz,Virginia,37.01%
Earl Phillips,Connecticut,44.99%
Earl Phillips,New York,27.97%
Earl Phillips,North Carolina,23.02%
Earl Phillips,Rhode Island,28.18%
Earl Robinson,Massachusetts,36.04%
Earl Robinson,New Jersey,28.96%
Earl Robinson,New York,28.96%
Earl Robinson,North Carolina,35.27%
Earl Simpson,Connecticut,42.79%
Earl Simpson,Florida,18.02%
Earl Simpson,Maryland,39.93%
Earl Simpson,New York,38.96%
Earl Simpson,Virginia,17.99%
Edward Gonzalez,Maryland,31.99%
Edward Gonzalez,New York,18.02%
Edward Gonzalez,North Carolina,22.02%
Edward Gonzalez,Virginia,35.50%
Edward Mason,Connecticut,46.05%
Edward Mason,Massachusetts,36.54%
Edward Mason,New York,46.58%
Edward Mason,North Carolina,23.02%
Edward Walker,Florida,37.80%
Edward Williams,Florida,47.06%
Edward Williams,Georgia,28.18%
Edward Wright,Connecticut,22.02%
Edward Wright,Florida,34.67%
Edward Wright,Maryland,31.96%
Edward Wright,Virginia,18.02%
Eric Alvarez,Connecticut,32.03%
Eric Alvarez,Florida,27.53%
Eric Alvarez,Massachusetts,28.18%
Eric Alvarez,New York,29.00%
Eric Alvarez,Virginia,31.96%
Eric Armstrong,Connecticut,32.03%
Eric Armstrong,Georgia,28.96%
Eric Armstrong,North Carolina,36.04%
Eric Armstrong,Virginia,23.02%
Eric Bowman,Connecticut,23.02%
Eric Bowman,Florida,18.02%
Eric Bowman,Massachusetts,31.97%
Eric Bowman,New Jersey,39.93%
Eric Bowman,New York,28.18%
Eric Bradley,Connecticut,28.98%
Eric Bradley,Florida,40.00%
Eric Bradley,New Hampshire,44.99%
Eric Bradley,New York,17.99%
Eric Bradley,North Carolina,28.00%
Eric Bradley,South Carolina,28.00%
Eric Moore,Connecticut,31.96%
Eric Moore,Georgia,31.99%
Eric Moore,Maryland,40.00%
Eric Moore,New York,46.05%
Eric Moore,North Carolina,28.18%
Eric Moore,Virginia,18.02%
Eric Shaw,Florida,44.99%
Eric Shaw,New York,34.32%
Eric Ward,Connecticut,38.96%
Eric Ward,Florida,33.30%
Eric Ward,North Carolina,49.00%
Eric Ward,Virginia,32.38%
Ernest Austin,Connecticut,38.08%
Ernest Austin,Florida,27.06%
Ernest Austin,Maryland,36.04%
Ernest Bradley,Connecticut,28.00%
Ernest Bradley,Florida,23.55%
Ernest Bradley,Georgia,28.96%
Ernest Fox,Massachusetts,44.99%
Ernest Fox,New York,34.59%
Ernest Fox,North Carolina,35.01%
Ernest Fox,Virginia,28.00%
Ernest Knight,Florida,41.04%
Ernest Knight,Georgia,37.80%
Ernest Knight,New Jersey,17.99%
Ernest Knight,New York,28.50%
Ernest Knight,Rhode Island,18.02%
Ernest Ortiz,Connecticut,37.80%
Ernest Ortiz,Florida,42.65%
Ernest Ortiz,Georgia,23.02%
Ernest Ortiz,New York,28.98%
Ernest Rivera,Florida,27.00%
Ernest Rivera,New Jersey,31.97%
Ernest Rivera,New York,24.01%
Ernest Rivera,North Carolina,28.00%
Eugene Brooks,Connecticut,37.11%
Eugene Brooks,Florida,32.04%
Eugene Brooks,Georgia,24.01%
Eugene Brooks,New Jersey,30.34%
Eugene Brooks,New York,28.96%
Eugene Castillo,Connecticut,46.46%
Eugene Castillo,Florida,25.28%
Eugene Cooper,Florida,49.00%
Eugene Cooper,New York,34.40%
Eugene Cunningham,Florida,37.80%
Eugene Cunningham,New York,26.99%
Eugene Cunningham,North Carolina,32.46%
Eugene Hunter,Connecticut,31.99%
Eugene Hunter,Florida,31.97%
Eugene Hunter,Georgia,34.30%
Eugene Hunter,New Jersey,40.00%
Eugene Hunter,New York,48.63%
Eugene Hunter,North Carolina,32.03%
Eugene Murphy,Connecticut,37.80%
Eugene Murphy,Florida,40.59%
Eugene Murphy,Georgia,46.01%
Eugene Murphy,Massachusetts,28.00%
Eugene Murphy,New York,28.18%
Eugene Ryan,Florida,34.65%
Eugene Ryan,Georgia,26.99%
Eugene Ryan,New Jersey,31.96%
Eugene Ryan,New York,31.03%
Eugene Scott,Florida,32.03%
Eugene Scott,Georgia,49.00%
Eugene Scott,Massachusetts,18.02%
Eugene Scott,New York,37.01%
Eugene Scott,North Carolina,29.81%
Eugene Scott,South Carolina,37.80%
Eugene Sims,Florida,37.80%
Eugene Sims,Maryland,36.02%
Eugene Sims,Massachusetts,18.02%
Eugene Sims,New York,46.01%
Eugene Weaver,Georgia,38.96%
Eugene Weaver,Massachusetts,40.00%
Eugene Weaver,New Jersey,46.01%
Eugene Weaver,New York,40.32%
Eugene Weaver,Virginia,36.84%
Frank Brown,Connecticut,36.04%
Frank Brown,Florida,35.01%
Frank Brown,New York,24.73%
Frank Gibson,New Jersey,24.01%
Frank Gibson,New York,31.03%
Frank Gibson,South Carolina,17.99%
Frank Gibson,Virginia,39.93%
Frank Hawkins,Florida,49.00%
Frank Hawkins,New Jersey,28.00%
Frank Hawkins,New York,36.04%
Frank Hawkins,North Carolina,26.99%
Frank Mason,Florida,29.66%
Frank Mason,Georgia,32.03%
Frank Mason,New Jersey,46.05%
Frank Mason,New York,31.79%
Frank Ortiz,Connecticut,39.00%
Frank Ortiz,Florida,41.21%
Frank Ortiz,New York,46.01%
Frank Ortiz,North Carolina,31.03%
Frank Schmidt,Florida,32.22%
Frank Schmidt,North Carolina,28.00%
Frank Weaver,North Carolina,37.01%
Frank Weaver,Virginia,39.78%
Frank Webb,Connecticut,38.96%
Frank Webb,Florida,34.30%
Frank Webb,New York,22.02%
Fred Bryant,Florida,41.04%
Fred Bryant,Georgia,41.04%
Fred Bryant,New Hampshire,17.99%
Fred Evans,Connecticut,40.55%
Fred Evans,Florida,35.35%
Fred Evans,Georgia,18.02%
Fred Evans,New York,31.25%
Fred Evans,North Carolina,49.00%
Fred Howell,Connecticut,31.97%
Fred Howell,Georgia,34.77%
Fred Jenkins,Georgia,28.96%
Fred Jenkins,Massachusetts,40.00%
Fred Jenkins,New Jersey,31.97%
Fred Jenkins,North Carolina,39.61%
Fred Perez,Connecticut,24.73%
Fred Perez,Florida,36.02%
Fred Perez,New York,28.65%
Fred Perez,Virginia,46.05%
Fred Peterson,Florida,49.00%
Fred Peterson,Massachusetts,47.06%
Fred Peterson,New York,34.62%
Fred Reid,Georgia,43.89%
Fred Reid,New York,36.02%
Fred Reid,North Carolina,35.01%
Fred Romero,Florida,35.76%
Fred Romero,Georgia,32.03%
Fred Romero,Massachusetts,44.99%
Fred Romero,New York,33.74%
Fred Russell,Connecticut,28.18%
Fred Russell,Florida,42.08%
Fred Stone,Florida,38.96%
Fred Stone,Georgia,18.02%
Fred Stone,New Hampshire,35.01%
Fred Stone,New York,26.97%
Fred Stone,South Carolina,26.99%
Fred Stone,Virginia,24.01%
Gary Baker,Virginia,46.05%
Gary Hudson,Connecticut,35.71%
Gary Hudson,Florida,40.91%
Gary Hudson,Maryland,36.04%
Gary Jones,Florida,32.03%
Gary Jones,New York,31.96%
Gary Jones,Virginia,31.03%
Gary Pierce,Georgia,40.00%
Gary Pierce,North Carolina,47.06%
Gary Porter,Connecticut,17.99%
Gary Porter,Florida,37.01%
Gary Porter,Rhode Island,28.98%
Gary Porter,Virginia,35.58%
George Adams,Connecticut,32.26%
George Adams,New York,31.99%
George Adams,North Carolina,34.20%
George Adams,South Carolina,28.98%
George Ellis,Florida,25.84%
George Fowler,New Jersey,32.03%
George Fowler,Virginia,28.18%
George Hill,Connecticut,31.99%
George Hill,Florida,24.01%
George Hill,Massachusetts,28.18%
George Hill,New York,45.17%
George Lee,Florida,39.93%
George Lee,Massachusetts,46.05%
George Lee,New York,42.59%
George Lewis,Connecticut,28.98%
George Nichols,Connecticut,27.54%
George Stanley,Connecticut,31.99%
George Stanley,Florida,31.63%
George Stanley,New York,36.44%
George Stanley,North Carolina,28.00%
George Stanley,Virginia,47.06%
George Thompson,Florida,20.94%
George Thompson,New Jersey,31.97%
George Thompson,New York,35.44%
George Thompson,North Carolina,36.89%
George Thompson,Virginia,37.80%
Gerald Alvarez,Florida,28.18%
Gerald Alvarez,Massachusetts,37.80%
Gerald Alvarez,North Carolina,23.02%
Gerald Andrews,Connecticut,31.99%
Gerald Andrews,Florida,28.96%
Gerald Andrews,New York,22.02%
Gerald Andrews,Virginia,32.03%
Gerald Clark,Connecticut,28.00%
Gerald Clark,Florida,25.78%
Gerald Clark,New York,36.32%
Gerald Gray,Florida,49.00%
Gerald Gray,Georgia,36.04%
Gerald Gray,New York,28.98%
Gerald Gray,Virginia,40.14%
Gerald Henry,Connecticut,24.01%
Gerald Henry,Florida,30.11%
Gerald Henry,Massachusetts,35.01%
Gerald Henry,New York,37.37%
Gerald Henry,North Carolina,28.96%
Gerald Henry,Virginia,26.97%
Gerald Palmer,Connecticut,47.06%
Gerald Palmer,Florida,31.96%
Gerald Palmer,Massachusetts,49.00%
Gerald Palmer,Virginia,28.00%
Gerald Porter,Connecticut,38.96%
Gerald Porter,Florida,22.02%
Gerald Porter,Massachusetts,37.80%
Gerald Porter,North Carolina,46.01%
Gerald Reyes,Florida,35.01%
Gerald Reyes,Georgia,31.97%
Gerald Reyes,New Hampshire,36.02%
Gerald Reyes,New Jersey,31.99%
Gerald Reyes,New York,41.04%
Gerald Rogers,Connecticut,32.03%
Gerald Rogers,Florida,27.90%
Gerald Rogers,North Carolina,36.02%
Gerald Rogers,Virginia,32.03%
Gregory Boyd,Connecticut,40.29%
Gregory Boyd,Florida,28.98%
Gregory Boyd,Massachusetts,18.02%
Gregory Boyd,North Carolina,31.99%
Gregory Boyd,Virginia,35.01%
Gregory Chapman,New York,46.01%
Gregory Jackson,Massachusetts,38.96%
Gregory Jackson,New York,30.01%
Gregory Jackson,North Carolina,30.46%
Gregory Porter,Florida,42.51%
Gregory Porter,Georgia,31.97%
Gregory Porter,Massachusetts,17.99%
Gregory Porter,New Hampshire,31.96%
Gregory Porter,New Jersey,28.96%
Gregory Porter,New York,28.52%
Gregory Porter,North Carolina,36.04%
Gregory Ramirez,Connecticut,31.97%
Gregory Ramirez,Florida,36.04%
Gregory Ramirez,Maryland,36.04%
Gregory Ramirez,Virginia,31.91%
Gregory Simmons,Maryland,37.01%
Gregory Simmons,New York,43.39%
Gregory Simmons,North Carolina,28.98%
Gregory Welch,Florida,32.85%
Gregory Welch,Georgia,28.98%
Gregory Welch,Massachusetts,28.02%
Gregory Welch,New Hampshire,28.00%
Gregory Welch,New York,41.04%
Harold Adams,Connecticut,26.99%
Harold Adams,New Jersey,28.96%
Harold Adams,New York,26.97%
Harold Adams,North Carolina,17.99%
Harold Adams,Virginia,37.80%
Harold Matthews,Florida,28.94%
Harold Matthews,Georgia,32.03%
Harold Matthews,Massachusetts,46.05%
Harold Matthews,New York,46.05%
Harold Matthews,North Carolina,37.80%
Harold Turner,Connecticut,26.99%
Harold Turner,Florida,35.88%
Harold Turner,New York,28.98%
Harold Turner,North Carolina,44.99%
Harold Turner,Virginia,24.01%
Harry Castillo,Connecticut,41.04%
Harry Castillo,Florida,41.88%
Harry Castillo,New York,35.01%
Harry Castillo,North Carolina,22.02%
Harry Castillo,South Carolina,28.98%
Harry Daniels,New York,38.96%
Harry Daniels,Virginia,31.71%
Harry Diaz,Connecticut,36.02%
Harry Diaz,North Carolina,38.96%
Harry Diaz,South Carolina,26.99%
Harry Hudson,Connecticut,31.96%
Harry Hudson,Florida,37.80%
Harry Hudson,Georgia,38.96%
Harry Hudson,New Jersey,46.97%
Harry Perkins,Florida,31.97%
Harry Perkins,Maryland,36.02%
Harry Perkins,New York,29.11%
Harry Perkins,North Carolina,32.03%
Harry Perkins,Virginia,32.47%
Henry Andrews,Connecticut,23.02%
Henry Andrews,Georgia,28.98%
Henry Andrews,New York,28.96%
Henry Andrews,Virginia,41.04%
Henry Bishop,Connecticut,44.99%
Henry Bishop,Florida,36.57%
Henry Bishop,New York,24.15%
Henry Bishop,North Carolina,35.01%
Henry Bishop,Virginia,31.96%
Henry Boyd,Florida,42.11%
Henry Boyd,New Jersey,38.96%
Henry Cox,Florida,24.01%
Henry Cox,New York,37.20%
Henry Cox,North Carolina,24.01%
Henry Diaz,Florida,37.01%
Henry Diaz,New Jersey,26.99%
Henry Diaz,Rhode Island,49.00%
Henry Elliott,Florida,29.30%
Henry Elliott,New York,39.93%
Henry Elliott,South Carolina,49.00%
Henry Harper,Florida,25.30%
Henry Harper,Georgia,18.02%
Henry Harper,North Carolina,28.18%
Henry Kelley,Connecticut,31.03%
Henry Kelley,Florida,28.00%
Henry Kelley,Massachusetts,24.01%
Henry Kelley,New York,47.06%
Henry Kelley,North Carolina,36.02%
Henry Reyes,Connecticut,44.99%
Henry Reyes,Florida,28.98%
Henry Reyes,Maryland,36.04%
Henry Reyes,New York,42.87%
Henry Reyes,North Carolina,40.00%
Henry Reyes,Rhode Island,41.04%
Henry Stanley,New Jersey,26.99%
Henry Stanley,North Carolina,24.01%
Henry Stanley,South Carolina,31.99%
Howard Harrison,Florida,33.24%
Howard Harrison,Maryland,37.80%
Howard Harrison,New Jersey,32.03%
Howard Harrison,New York,49.00%
Howard Harrison,North Carolina,31.03%
Howard Lewis,Florida,17.99%
Howard Lewis,New York,44.08%
Howard Lewis,North Carolina,40.00%
Howard Lynch,Georgia,28.00%
Howard Lynch,North Carolina,29.24%
Howard Moore,Connecticut,25.00%
Howard Moore,Florida,28.80%
Howard Moore,Georgia,37.01%
Howard Morgan,Florida,28.92%
Howard Morgan,New York,28.93%
Jack Howell,Connecticut,28.98%
Jack Howell,Florida,36.02%
Jack Howell,North Carolina,28.18%
Jack Jackson,Connecticut,28.98%
Jack Jackson,Florida,29.96%
Jack Jackson,Georgia,36.02%
Jack Jackson,Massachusetts,18.02%
Jack Jackson,New Jersey,35.01%
Jack Jackson,Rhode Island,31.03%
Jack Lynch,Connecticut,28.18%
Jack Lynch,New York,28.96%
Jack Lynch,North Carolina,24.01%
Jack Phillips,Connecticut,28.98%
Jack Phillips,Florida,39.93%
Jack Phillips,New Jersey,31.99%
Jack Phillips,New York,36.04%
Jack Reid,Connecticut,37.80%
Jack Reid,Florida,46.01%
Jack Reid,Georgia,18.02%
Jack Reid,Massachusetts,36.02%
Jack Reid,New York,41.55%
Jack Reid,Virginia,35.01%
Jack Stevens,Florida,28.46%
Jack Stevens,Georgia,28.18%
Jack Stevens,New Jersey,32.03%
Jack Stevens,New York,39.11%
Jack Stevens,Rhode Island,32.03%
Jack Stevens,South Carolina,40.00%
James Armstrong,Maryland,37.01%
James Armstrong,New Jersey,28.00%
James Armstrong,Virginia,36.02%
James Castillo,Connecticut,37.80%
James Castillo,Florida,47.65%
James Castillo,Maryland,47.06%
James Castillo,New Hampshire,22.02%
James Castillo,New Jersey,36.04%
James Dean,Florida,37.80%
James Dean,Georgia,31.96%
James Dean,Massachusetts,31.96%
James Dean,New York,36.04%
James Dean,North Carolina,38.96%
James Fisher,Connecticut,36.04%
James Fisher,Florida,41.42%
James Fisher,New York,18.02%
James Foster,Florida,43.71%
James Foster,New Jersey,31.99%
James Foster,New York,28.96%
James Foster,Virginia,35.50%
James Perkins,Florida,36.04%
James Perkins,Georgia,37.80%
James Perkins,Massachusetts,37.80%
James Perkins,New York,19.43%
James Perkins,North Carolina,34.91%
James Perkins,Virginia,37.01%
James Simmons,Connecticut,18.02%
James Simmons,Georgia,23.02%
James Simmons,New Jersey,18.02%
James Simmons,New York,44.56%
James Simmons,North Carolina,36.84%
James Sullivan,Connecticut,38.96%
James Sullivan,New York,38.39%
James Sullivan,North Carolina,24.01%
James Williams,Florida,37.01%
Jason Diaz,Florida,38.90%
Jason Diaz,New Jersey,28.98%
Jason Diaz,New York,45.14%
Jason Dixon,Connecticut,28.96%
Jason Dixon,Florida,47.12%
Jason Dixon,Georgia,32.91%
Jason Dixon,Massachusetts,28.18%
Jason Dixon,New Jersey,36.04%
Jason Dixon,North Carolina,17.99%
Jason Duncan,Florida,49.00%
Jason Duncan,Georgia,46.05%
Jason Duncan,New York,49.00%
Jason Gray,Connecticut,30.00%
Jason Gray,Florida,31.97%
Jason Gray,Georgia,28.96%
Jason Gray,New Jersey,32.03%
Jason Hanson,Connecticut,28.00%
Jason Hanson,Georgia,27.23%
Jason Hanson,New York,38.96%
Jason Hanson,South Carolina,36.02%
Jason Hudson,Florida,38.57%
Jason Hudson,Georgia,17.99%
Jason Hudson,Massachusetts,28.98%
Jason Hudson,New York,47.06%
Jason Hudson,Virginia,28.18%
Jason Murphy,Connecticut,47.06%
Jason Murphy,Florida,36.68%
Jason Murphy,Georgia,28.00%
Jason Murphy,New York,36.80%
Jason Ross,Florida,31.99%
Jason Ross,New Jersey,36.02%
Jason Ross,New York,28.41%
Jason Ross,North Carolina,24.01%
Jason Walker,Connecticut,37.80%
Jason Walker,Florida,28.93%
Jason Walker,New York,37.90%
Jason Walker,Virginia,28.98%
Jeffrey Carpenter,Florida,28.29%
Jeffrey Carpenter,Georgia,38.84%
Jeffrey Gibson,Connecticut,37.01%
Jeffrey Gibson,Florida,34.91%
Jeffrey Gibson,Massachusetts,36.04%
Jeffrey Gibson,New York,36.04%
Jeffrey Phillips,Connecticut,18.02%
Jeffrey Phillips,Florida,31.74%
Jeffrey Phillips,Massachusetts,38.96%
Jeffrey Phillips,New York,29.84%
Jeffrey Phillips,North Carolina,37.80%
Jeffrey Sanders,New Jersey,39.93%
Jeremy Allen,Florida,47.77%
Jeremy Allen,New York,36.85%
Jeremy Allen,Virginia,23.72%
Jeremy Arnold,Connecticut,40.00%
Jeremy Arnold,Florida,31.96%
Jeremy Arnold,Maryland,44.99%
Jeremy Arnold,New York,37.49%
Jeremy Arnold,Virginia,46.01%
Jeremy Gomez,Florida,22.75%
Jeremy Gomez,Georgia,33.26%
Jeremy Gomez,Massachusetts,26.97%
Jeremy Gomez,New York,24.35%
Jeremy Jenkins,Florida,17.99%
Jeremy Jenkins,Georgia,38.96%
Jeremy Jenkins,New York,36.02%
Jeremy Jenkins,North Carolina,44.04%
Jeremy Jenkins,Virginia,28.96%
Jeremy Peterson,Florida,31.75%
Jeremy Peterson,Georgia,31.03%
Jeremy Peterson,New Hampshire,23.02%
Jeremy Porter,Georgia,31.03%
Jeremy Porter,Massachusetts,37.80%
Jeremy Porter,New Jersey,23.94%
Jeremy Porter,New York,47.06%
Jeremy Porter,South Carolina,37.80%
Jeremy Porter,Virginia,23.02%
Jeremy Rice,Florida,38.96%
Jeremy Rice,New York,49.00%
Jeremy Rice,North Carolina,44.99%
Jeremy Rice,Virginia,36.04%
Jeremy Schmidt,Georgia,28.98%
Jeremy Schmidt,Maryland,47.06%
Jeremy Vasquez,Connecticut,30.04%
Jeremy Vasquez,Florida,28.00%
Jeremy Vasquez,Virginia,35.75%
Jeremy Wilson,Connecticut,17.99%
Jeremy Wilson,Florida,30.14%
Jeremy Wilson,New York,47.06%
Jeremy Wilson,North Carolina,31.97%
Jeremy Wilson,Virginia,31.03%
Jerry Andrews,Connecticut,41.04%
Jerry Andrews,Florida,18.02%
Jerry Andrews,Georgia,36.25%
Jerry Andrews,Maryland,44.99%
Jerry Andrews,New York,45.50%
Jerry Andrews,South Carolina,31.97%
Jerry Andrews,Virginia,36.67%
Jerry Barnes,Florida,20.67%
Jerry Barnes,New Jersey,37.01%
Jerry Barnes,South Carolina,37.80%
Jerry Barnes,Virginia,37.01%
Jerry Green,Florida,34.55%
Jerry Green,Georgia,39.93%
Jerry Green,New Jersey,44.99%
Jerry Green,New York,37.38%
Jerry Green,South Carolina,28.98%
Jerry Harvey,Florida,36.02%
Jerry Harvey,Georgia,28.00%
Jerry Harvey,New Jersey,28.98%
Jerry Harvey,New York,38.68%
Jerry Harvey,North Carolina,22.02%
Jerry Reed,Florida,40.00%
Jerry Reed,New York,28.98%
Jerry Reed,South Carolina,28.98%
Jerry Rogers,Florida,46.01%
Jerry Rogers,Georgia,22.92%
Jerry Simmons,New York,44.99%
Jerry Smith,New Jersey,40.00%
Jerry Smith,North Carolina,26.99%
Jesse Alvarez,Connecticut,46.05%
Jesse Alvarez,Florida,37.80%
Jesse Alvarez,New Hampshire,40.00%
Jesse Alvarez,New York,30.60%
Jesse Bishop,New Jersey,26.99%
Jesse Bishop,New York,44.30%
Jesse Bishop,North Carolina,26.99%
Jesse Castillo,Florida,29.21%
Jesse Castillo,New Jersey,30.93%
Jesse Castillo,New York,39.84%
Jesse Evans,Connecticut,29.99%
Jesse Evans,Florida,25.29%
Jesse Evans,Massachusetts,26.99%
Jesse Evans,New York,26.99%
Jesse Evans,North Carolina,46.01%
Jesse Garrett,Connecticut,40.29%
Jesse Garrett,Florida,47.06%
Jesse Garrett,Georgia,18.02%
Jesse Garrett,New York,18.02%
Jesse Graham,Florida,49.00%
Jesse Graham,Georgia,44.99%
Jesse Hernandez,Connecticut,28.00%
Jesse Hernandez,Florida,27.23%
Jesse Hernandez,New Jersey,49.00%
Jesse Hernandez,South Carolina,23.02%
Jesse Hill,New York,31.03%
Jesse Wells,Georgia,41.48%
Jesse Wells,Maryland,31.93%
Jesse Wells,New York,37.80%
Jimmy Andrews,Connecticut,36.02%
Jimmy Andrews,New Jersey,28.34%
Jimmy Andrews,New York,37.01%
Jimmy Andrews,Virginia,41.04%
Jimmy Grant,Connecticut,37.01%
Jimmy Grant,Florida,20.53%
Jimmy Grant,Massachusetts,28.18%
Jimmy Grant,New York,31.07%
Jimmy Grant,North Carolina,31.99%
Jimmy Grant,Virginia,37.80%
Jimmy Harper,Florida,23.28%
Jimmy Harper,New York,30.44%
Jimmy Morrison,Connecticut,36.02%
Jimmy Morrison,Florida,41.04%
Jimmy Morrison,Maryland,31.03%
Jimmy Ray,Florida,39.93%
Jimmy Ray,New York,22.02%
Jimmy Ray,North Carolina,27.59%
Jimmy Ray,Virginia,44.99%
Jimmy Wood,Florida,39.43%
Jimmy Wood,New York,35.74%
Joe Baker,Florida,44.15%
Joe Baker,Massachusetts,49.00%
Joe Baker,New Jersey,24.01%
Joe Baker,New York,38.96%
Joe Baker,North Carolina,23.02%
Joe Baker,South Carolina,28.18%
Joe Bryant,Georgia,41.04%
Joe Bryant,New Jersey,36.58%
Joe Bryant,New York,33.06%
Joe Bryant,South Carolina,31.97%
Joe Carroll,Florida,42.94%
Joe Carroll,Georgia,31.96%
Joe Coleman,Connecticut,33.76%
Joe Coleman,Florida,39.93%
Joe Coleman,Massachusetts,26.99%
Joe Coleman,New Jersey,28.00%
Joe Coleman,North Carolina,32.03%
Joe Fuller,Florida,32.03%
Joe Fuller,New Hampshire,31.97%
Joe Fuller,New Jersey,31.03%
Joe Gordon,New Jersey,44.99%
Joe Gordon,New York,41.04%
Joe Gordon,North Carolina,28.98%
Joe Griffin,Florida,37.80%
Joe Griffin,Georgia,31.97%
Joe Griffin,Maryland,47.06%
Joe Griffin,North Carolina,23.02%
Joe Griffin,Virginia,40.00%
Joe Hanson,Florida,27.59%
Joe Hanson,Maryland,37.01%
Joe Hanson,Massachusetts,46.05%
Joe Hanson,New Jersey,39.80%
Joe Hanson,Virginia,46.01%
Joe Powell,Florida,44.99%
Joe Powell,Massachusetts,33.87%
Joe Powell,New Jersey,47.06%
Joe Price,Florida,29.88%
Joe Price,Georgia,41.04%
Joe Price,New Jersey,38.96%
Joe Rose,Connecticut,32.71%
Joe Rose,Florida,31.97%
Joe Rose,New York,33.21%
Joe Rose,Virginia,29.66%
John Brooks,Connecticut,24.01%
John Brooks,Florida,31.19%
John Brooks,North Carolina,46.01%
John Brooks,Virginia,36.02%
John Hunt,Florida,31.03%
John Hunt,Georgia,40.00%
John Hunt,New York,26.99%
John Hunt,North Carolina,47.06%
John Long,Florida,43.98%
John Long,Massachusetts,28.18%
John Long,New Jersey,28.96%
John Long,New York,36.28%
John Long,Rhode Island,46.01%
John Long,South Carolina,28.18%
John Long,Virginia,33.65%
John Robertson,Connecticut,37.80%
John Robertson,Florida,27.45%
John Robertson,Massachusetts,28.00%
John Robertson,New Jersey,23.02%
John Robertson,New York,31.97%
Johnny Andrews,Florida,28.00%
Johnny Andrews,Georgia,36.04%
Johnny Andrews,North Carolina,36.04%
Johnny Andrews,Virginia,39.93%
Johnny Butler,Florida,35.01%
Johnny Butler,Georgia,41.00%
Johnny Butler,Massachusetts,41.04%
Johnny Butler,North Carolina,35.49%
Johnny Butler,South Carolina,17.99%
Johnny Butler,Virginia,24.01%
Johnny Hawkins,Connecticut,36.04%
Johnny Hawkins,New York,38.69%
Johnny Hawkins,North Carolina,30.99%
Johnny Martinez,Florida,39.42%
Johnny Martinez,Massachusetts,28.98%
Johnny Martinez,New York,28.18%
Johnny Martinez,North Carolina,28.18%
Johnny Martinez,Virginia,43.43%
Johnny Ramos,Connecticut,31.99%
Johnny Ramos,Georgia,28.18%
Johnny Ramos,New York,35.41%
Johnny Ramos,Virginia,33.74%
Johnny Ward,Connecticut,31.99%
Johnny Ward,Florida,33.25%
Johnny Ward,Georgia,22.02%
Johnny Ward,North Carolina,26.99%
Jonathan Bowman,Florida,29.11%
Jonathan Bowman,Massachusetts,36.02%
Jonathan Bowman,New York,37.05%
Jonathan Cox,Florida,40.00%
Jonathan Cox,Georgia,47.06%
Jonathan Cox,New Hampshire,28.18%
Jonathan Freeman,Connecticut,18.02%
Jonathan Freeman,Florida,23.18%
Jonathan Harris,Connecticut,44.99%
Jonathan Harris,Florida,25.09%
Jonathan Harris,New Jersey,47.06%
Jonathan Harris,New York,31.96%
Jonathan Harris,North Carolina,33.03%
Jonathan Harris,Virginia,17.99%
Jonathan Hawkins,Connecticut,28.98%
