first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,Age_Group,Full_name
"Launce","Gale","Male",86,"15/01/1939",83,"N/A","N/A","Mass Customer","N","No",21,"4 Fordem Avenue",2777,"NSW","Australia",9,913,0.4993749999999999,"80+","Launce Gale"
"Rubia","Evetts","Female",59,"21/12/1990",31,"Pharmacist","Health","Mass Customer","N","No",16,"64213 Miller Point",2071,"NSW","Australia",9,921,0.49,"30-39","Rubia Evetts"
"Francklin","Cross","Male",51,"06/04/1981",41,"Teacher","Property","Mass Customer","N","Yes",3,"24593 Jackson Parkway",2231,"NSW","Australia",10,921,0.49,"40-49","Francklin Cross"
"Lezlie","Clemits","Female",2,"30/05/1973",48,"Senior Cost Accountant","Financial Services","Mass Customer","N","Yes",15,"0504 Nevada Drive",2155,"NSW","Australia",10,924,0.48875,"40-49","Lezlie Clemits"
"Stephi","Highton","Female",30,"09/09/1987",34,"Software Engineer I","Telecommunications","Mass Customer","N","Yes",12,"293 Mendota Park",2154,"NSW","Australia",10,930,0.478125,"30-39","Stephi Highton"
"Sim","Constantinou","Male",91,"09/08/1992",29,"Analog Circuit Design manager","Property","Mass Customer","N","No",5,"41002 Loomis Park",2010,"NSW","Australia",9,944,0.46,"20-29","Sim Constantinou"
"Noami","Cokly","Female",74,"17/09/1962",59,"N/A","Manufacturing","Mass Customer","N","Yes",15,"2886 Buena Vista Terrace",2038,"NSW","Australia",11,954,0.45,"50-59","Noami Cokly"
"Benedikta","Naptin","Female",59,"13/08/1995",26,"Operator","Retail","Mass Customer","N","Yes",15,"345 Fieldstone Park",2121,"NSW","Australia",11,956,0.44625,"20-29","Benedikta Naptin"
"Sonia","Dunstall","Female",0,"30/07/1975",46,"Accountant III","Financial Services","Mass Customer","N","No",10,"99 Park Meadow Hill",2570,"NSW","Australia",9,960,0.442,"40-49","Sonia Dunstall"
"Jammie","Seldner","Female",42,"25/02/1975",47,"Human Resources Manager","Health","Mass Customer","N","Yes",15,"8 Saint Paul Junction",2066,"NSW","Australia",10,963,0.44,"40-49","Jammie Seldner"
"Ellwood","Budden","Male",82,"03/06/1998",23,"N/A","Health","Mass Customer","N","Yes",11,"79907 Randy Center",2192,"NSW","Australia",10,972,0.43,"20-29","Ellwood Budden"
"Beverly","Domnick","Female",56,"10/12/1938",83,"Structural Analysis Engineer","IT","Mass Customer","N","No",9,"8 Burning Wood Junction",2232,"NSW","Australia",10,977,0.42,"80+","Beverly Domnick"
"Daryle","Marginson","Male",93,"27/06/1986",35,"Environmental Tech","Argiculture","Mass Customer","N","Yes",9,"21316 Ohio Place",2121,"NSW","Australia",12,979,0.4165,"30-39","Daryle Marginson"
"Tyne","Anshell","Female",71,"08/04/1992",30,"Mechanical Systems Engineer","N/A","Mass Customer","N","Yes",3,"93 Sutherland Terrace",2560,"NSW","Australia",8,979,0.4165,"30-39","Tyne Anshell"
"Bertrando","Carass","Male",45,"25/06/1956",65,"Sales Associate","Property","Mass Customer","N","No",8,"1 Quincy Road",2565,"NSW","Australia",5,983,0.41,"60-69","Bertrando Carass"
"Augusta","Munns","Female",5,"17/09/1951",70,"Quality Control Specialist","N/A","Mass Customer","N","No",21,"607 Memorial Avenue",2074,"NSW","Australia",11,983,0.41,"70-79","Augusta Munns"
"Consalve","Ballay","Male",41,"18/09/1959",62,"Web Developer I","IT","Mass Customer","N","Yes",7,"72 Village Terrace",2250,"NSW","Australia",8,987,0.4,"60-69","Consalve Ballay"
"Lolly","Prewer","Female",44,"23/10/1997",24,"Geologist I","Health","Mass Customer","N","No",15,"694 Coolidge Center",2620,"NSW","Australia",7,988,0.3995,"20-29","Lolly Prewer"
"Vyky","Pegg","Female",64,"15/03/1943",79,"Quality Control Specialist","Manufacturing","Mass Customer","N","Yes",11,"31854 Anniversary Terrace",2322,"NSW","Australia",7,988,0.3995,"70-79","Vyky Pegg"
"Weidar","Etheridge","Male",38,"13/07/1959",62,"Compensation Analyst","Financial Services","Mass Customer","N","Yes",6,"0535 Jay Point",2422,"NSW","Australia",4,994,0.3825,"60-69","Weidar Etheridge"
"Burk","Wortley","Male",22,"17/10/2001",20,"Senior Sales Associate","Health","Mass Customer","N","No",6,"04 Union Crossing",2196,"NSW","Australia",10,997,0.357,"20-29","Burk Wortley"
"Sylas","Duffill","Male",56,"02/10/1955",66,"Staff Accountant IV","Property","Mass Customer","N","Yes",14,"21875 Grover Drive",2010,"NSW","Australia",9,1000,0.34,"60-69","Sylas Duffill"
"Chickie","Brister","Male",86,"12/07/1957",64,"General Manager","Manufacturing","Mass Customer","N","Yes",14,"45 Shopko Center",4500,"QLD","Australia",6,1,1.71875,"60-69","Chickie Brister"
"Nancie","Vian","Female",74,"27/12/1972",49,"Human Resources Assistant II","Retail","Mass Customer","N","Yes",10,"85 Carioca Point",4814,"QLD","Australia",5,8,1.65625,"40-49","Nancie Vian"
"Barthel","Docket","Male",72,"02/08/1985",36,"Accounting Assistant IV","IT","Mass Customer","N","Yes",17,"80 Scofield Junction",4151,"QLD","Australia",5,10,1.640625,"30-39","Barthel Docket"
"Mandie","Feares","Female",32,"19/04/1964",58,"Clinical Specialist","Health","Mass Customer","N","No",10,"39 Kedzie Pass",4053,"QLD","Australia",8,14,1.59375,"50-59","Mandie Feares"
"Marcelia","Monkleigh","Female",61,"22/08/1993",28,"Associate Professor","Manufacturing","Mass Customer","N","Yes",4,"610 Swallow Street",4051,"QLD","Australia",6,17,1.546875,"20-29","Marcelia Monkleigh"
"Otis","Ottey","Male",26,"05/02/1998",24,"Quality Engineer","N/A","Mass Customer","N","No",3,"1562 Merchant Street",4744,"QLD","Australia",4,23,1.5,"20-29","Otis Ottey"
"Brena","Schnitter","Female",78,"11/10/1982",39,"Account Executive","Manufacturing","Mass Customer","N","No",4,"67 Shelley Street",4703,"QLD","Australia",5,25,1.484375,"30-39","Brena Schnitter"
"Rourke","Gillbard","Male",11,"03/08/1945",76,"N/A","Property","Mass Customer","N","No",17,"75 Cordelia Trail",4817,"QLD","Australia",4,26,1.46875,"70-79","Rourke Gillbard"
"Mikel","McNess","Male",71,"22/09/1981",40,"Nurse","N/A","Mass Customer","N","No",9,"3 Pleasure Drive",4122,"QLD","Australia",9,32,1.453125,"40-49","Mikel McNess"
"Nobe","McAughtry","Male",25,"14/12/1978",43,"N/A","N/A","Mass Customer","N","No",12,"1 Orin Hill",4510,"QLD","Australia",5,89,1.3125,"40-49","Nobe McAughtry"
"Karlik","Penchen","Male",60,"31/10/1994",27,"Nurse Practicioner","Retail","Mass Customer","N","No",11,"5 Nevada Point",4017,"QLD","Australia",6,96,1.3,"20-29","Karlik Penchen"
"Hanny","Treven","Female",84,"22/01/1991",31,"Associate Professor","Retail","Mass Customer","N","No",3,"5 Quincy Street",4118,"QLD","Australia",4,99,1.296875,"30-39","Hanny Treven"
"Gina","Mallon","Female",56,"11/02/1994",28,"Dental Hygienist","Health","Mass Customer","N","No",12,"13025 Johnson Plaza",4670,"QLD","Australia",2,102,1.28828125,"20-29","Gina Mallon"
"Griffith","Escot","Male",50,"23/10/1946",75,"Accountant III","IT","Mass Customer","N","Yes",16,"94 Manitowish Court",4116,"QLD","Australia",3,104,1.2875,"70-79","Griffith Escot"
"Michal","Bryan","Female",1,"09/11/1969",52,"N/A","Manufacturing","Mass Customer","N","Yes",16,"4275 Bluestem Pass",4000,"QLD","Australia",8,104,1.2875,"50-59","Michal Bryan"
"Jordan","Clampe","Male",37,"09/12/1939",82,"Staff Scientist","Financial Services","Mass Customer","N","Yes",11,"276 Westend Road",4207,"QLD","Australia",5,111,1.28125,"80+","Jordan Clampe"
"Roddy","Rubinshtein","Male",37,"08/10/1987",34,"Nurse Practicioner","Retail","Mass Customer","N","Yes",4,"3 Mcguire Crossing",4510,"QLD","Australia",7,114,1.275,"30-39","Roddy Rubinshtein"
"Peria","Rantoull","Female",3,"13/03/1975",47,"Financial Analyst","Financial Services","Mass Customer","N","No",4,"8350 Moulton Terrace",4500,"QLD","Australia",4,120,1.2625,"40-49","Peria Rantoull"
"Georgetta","Lovett","Female",42,"02/02/1940",82,"Editor","Retail","Mass Customer","N","No",12,"1 Bluejay Place",4405,"QLD","Australia",1,127,1.25,"80+","Georgetta Lovett"
"Sharline","Abyss","Female",11,"18/03/1960",62,"N/A","N/A","Mass Customer","N","Yes",15,"367 Bay Point",4011,"QLD","Australia",4,133,1.2375,"60-69","Sharline Abyss"
"Grannie","Cracker","Male",28,"06/03/1949",73,"VP Marketing","Retail","Mass Customer","N","Yes",20,"87254 Hermina Pass",4217,"QLD","Australia",8,142,1.23515625,"70-79","Grannie Cracker"
"Glenn","Casbourne","Female",4,"08/08/1981",40,"Senior Editor","Manufacturing","Mass Customer","N","No",6,"2 Morrow Alley",4207,"QLD","Australia",1,144,1.234375,"40-49","Glenn Casbourne"
"Skippie","Yearsley","Male",6,"04/09/1956",65,"Compensation Analyst","Financial Services","Mass Customer","N","No",9,"95306 John Wall Avenue",4350,"QLD","Australia",5,155,1.2,"60-69","Skippie Yearsley"
"Tessa","Friese","Female",89,"24/10/1976",45,"Health Coach II","Financial Services","Mass Customer","N","No",21,"98158 Alpine Point",4212,"QLD","Australia",9,157,1.1953125,"40-49","Tessa Friese"
"Juliana","Mitchenson","Female",55,"05/01/1989",33,"Environmental Tech","Manufacturing","Mass Customer","N","Yes",8,"74 Russell Terrace",4350,"QLD","Australia",4,166,1.175,"30-39","Juliana Mitchenson"
"Keriann","Newham","Female",71,"26/03/1975",47,"Assistant Manager","Financial Services","Mass Customer","N","No",5,"0193 Northland Street",4179,"QLD","Australia",9,177,1.1625,"40-49","Keriann Newham"
"Dorian","Rustman","Male",78,"09/12/1974",47,"Junior Executive","Manufacturing","Mass Customer","N","No",18,"6156 Summit Center",4352,"QLD","Australia",7,181,1.158125,"40-49","Dorian Rustman"
"Rosemonde","Cartwight","Female",44,"20/10/1952",69,"Analyst Programmer","Retail","Mass Customer","N","Yes",7,"518 Paget Hill",4605,"QLD","Australia",1,202,1.140625,"60-69","Rosemonde Cartwight"
"Roberta","Goodale","Female",9,"28/02/1947",75,"Information Systems Manager","Property","Mass Customer","N","Yes",22,"013 David Junction",4211,"QLD","Australia",7,215,1.12890625,"70-79","Roberta Goodale"
"Wallace","Newart","Male",91,"06/12/1977",44,"N/A","IT","Mass Customer","N","No",17,"29007 Dapin Street",4650,"QLD","Australia",1,223,1.115625,"40-49","Wallace Newart"
"Hersh","Stubbert","Male",0,"25/06/2000",21,"Technical Writer","Manufacturing","Mass Customer","N","Yes",15,"68 Fairfield Street",4115,"QLD","Australia",8,226,1.1125,"20-29","Hersh Stubbert"
"Leticia","Danovich","Female",84,"02/10/1941",80,"Design Engineer","Entertainment","Mass Customer","N","Yes",15,"2 Logan Avenue",4307,"QLD","Australia",1,237,1.094375,"80+","Leticia Danovich"
"Harman","Lynds","Male",4,"27/05/1961",60,"Professor","N/A","Mass Customer","N","Yes",5,"538 Gina Way",4105,"QLD","Australia",8,240,1.09,"60-69","Harman Lynds"
"Robenia","Monks","Female",94,"08/05/1959",62,"Nurse Practicioner","Manufacturing","Mass Customer","N","No",5,"8 Fieldstone Street",4065,"QLD","Australia",9,241,1.0875,"60-69","Robenia Monks"
"Solomon","Bruck","Male",29,"15/11/1957",64,"Junior Executive","Health","Mass Customer","N","No",12,"5 High Crossing Junction",4556,"QLD","Australia",8,244,1.08375,"60-69","Solomon Bruck"
"Krystyna","Airey","Female",2,"05/09/1950",71,"Safety Technician II","N/A","Mass Customer","N","Yes",19,"75760 Toban Junction",4006,"QLD","Australia",5,244,1.08375,"70-79","Krystyna Airey"
"Malvin","Ryhorovich","Male",37,"03/03/1962",60,"Quality Control Specialist","N/A","Mass Customer","N","No",5,"5356 Sugar Plaza",4818,"QLD","Australia",3,252,1.073125,"60-69","Malvin Ryhorovich"
"Tanya","Hamberston","Female",45,"25/09/2000",21,"Product Engineer","N/A","Mass Customer","N","Yes",9,"7 Schiller Point",4113,"QLD","Australia",6,259,1.0625,"20-29","Tanya Hamberston"
"Bogey","Attew","Male",88,"18/11/1992",29,"Software Engineer II","IT","Mass Customer","N","Yes",10,"4 Monterey Road",4165,"QLD","Australia",9,259,1.0625,"20-29","Bogey Attew"
"Zondra","Ringham","Female",36,"13/01/1948",74,"Cost Accountant","Financial Services","Mass Customer","N","Yes",7,"416 Lighthouse Bay Lane",4510,"QLD","Australia",5,259,1.0625,"70-79","Zondra Ringham"
"Dexter","Shutle","Male",81,"05/01/1959",63,"Quality Control Specialist","N/A","Mass Customer","N","No",17,"07 Dayton Court",4005,"QLD","Australia",7,284,1.046875,"60-69","Dexter Shutle"
"Konstanze","Hovie","Female",88,"09/01/1967",55,"Pharmacist","Health","Mass Customer","N","No",11,"351 Sunfield Lane",4370,"QLD","Australia",7,285,1.04125,"50-59","Konstanze Hovie"
"Kermit","Lebond","Male",36,"01/02/1980",42,"Financial Advisor","Financial Services","Mass Customer","N","No",4,"71 Ludington Center",4208,"QLD","Australia",8,295,1.03125,"40-49","Kermit Lebond"
"Zollie","Crinidge","Male",39,"10/01/1988",34,"Systems Administrator I","Retail","Mass Customer","N","Yes",10,"0 Esker Avenue",4019,"QLD","Australia",5,297,1.030625,"30-39","Zollie Crinidge"
"Brynna","Tivers","Female",81,"09/08/1974",47,"Recruiting Manager","Financial Services","Mass Customer","N","No",6,"0 Mayfield Parkway",4272,"QLD","Australia",7,304,1.025,"40-49","Brynna Tivers"
"Cecelia","Cisar","Female",20,"26/03/1985",37,"N/A","Property","Mass Customer","N","Yes",15,"665 Sachs Way",4212,"QLD","Australia",7,312,1.02,"30-39","Cecelia Cisar"
"Haleigh","","Female",17,"19/05/1952",69,"Senior Sales Associate","Financial Services","Mass Customer","N","Yes",18,"49 Jana Point",4503,"QLD","Australia",4,326,1.009375,"60-69","Haleigh "
"Aldridge","Poskitt","Male",84,"10/02/1982",40,"VP Sales","N/A","Mass Customer","N","No",12,"7 Fordem Point",4161,"QLD","Australia",5,326,1.009375,"40-49","Aldridge Poskitt"
"Bessy","Saladin","Female",22,"22/12/1939",82,"VP Marketing","Manufacturing","Mass Customer","N","Yes",16,"60073 Pankratz Pass",4075,"QLD","Australia",10,341,0.99,"80+","Bessy Saladin"
"Gallagher","Bromell","Male",18,"02/12/1956",65,"Assistant Manager","N/A","Mass Customer","N","No",17,"91634 Badeau Crossing",4556,"QLD","Australia",8,349,0.9875,"60-69","Gallagher Bromell"
"Giulia","Hazart","Female",57,"02/08/1978",43,"Help Desk Technician","N/A","Mass Customer","N","No",11,"81 Donald Parkway",4218,"QLD","Australia",11,371,0.96875,"40-49","Giulia Hazart"
"Jenelle","Mc-Kerley","Female",40,"23/01/1942",80,"Data Coordiator","Financial Services","Mass Customer","N","Yes",16,"9 Springview Terrace",4068,"QLD","Australia",5,378,0.95624999999999993,"80+","Jenelle Mc-Kerley"
"Lura","Fawdrie","Female",66,"17/01/2002",20,"VP Sales","Health","Mass Customer","N","Yes",4,"67183 Anniversary Parkway",4211,"QLD","Australia",3,396,0.9375,"20-29","Lura Fawdrie"
"Art","Shardlow","Male",57,"15/10/1963",58,"Data Coordiator","Argiculture","Mass Customer","N","Yes",15,"7 Clemons Circle",4350,"QLD","Australia",2,415,0.92187499999999989,"50-59","Art Shardlow"
"Suzy","Trounson","Female",13,"19/07/1947",74,"Senior Financial Analyst","Financial Services","Mass Customer","N","Yes",20,"0627 Golf Center",4152,"QLD","Australia",9,420,0.91375,"70-79","Suzy Trounson"
"Arel","Abramovitz","Male",72,"12/11/1957",64,"Nurse Practicioner","Health","Mass Customer","N","No",16,"32249 Sycamore Way",4650,"QLD","Australia",4,433,0.90625,"60-69","Arel Abramovitz"
"Melany","Ladewig","Female",76,"17/05/1972",49,"Research Associate","Financial Services","Mass Customer","N","Yes",10,"3864 Sheridan Alley",4130,"QLD","Australia",7,444,0.9,"40-49","Melany Ladewig"
"Deana","Canton","Female",67,"25/11/1974",47,"N/A","Property","Mass Customer","N","Yes",14,"92 Ludington Street",4301,"QLD","Australia",3,455,0.8925,"40-49","Deana Canton"
"Thorn","Stigers","Male",42,"19/05/1972",49,"Business Systems Development Analyst","Financial Services","Mass Customer","N","No",19,"6218 Delladonna Parkway",4115,"QLD","Australia",8,466,0.89,"40-49","Thorn Stigers"
"Ceciley","Harg","Female",50,"19/10/1990",31,"Nurse Practicioner","Retail","Mass Customer","N","Yes",4,"409 Starling Lane",4172,"QLD","Australia",7,471,0.8875,"30-39","Ceciley Harg"
"Renell","Earley","Female",5,"21/10/1954",67,"Compensation Analyst","Financial Services","Mass Customer","N","Yes",11,"79 Manufacturers Plaza",4171,"QLD","Australia",5,500,0.86,"60-69","Renell Earley"
"Fredia","Favelle","Female",94,"29/08/1974",47,"Teacher","N/A","Mass Customer","N","Yes",19,"4 Arapahoe Terrace",4014,"QLD","Australia",8,507,0.85,"40-49","Fredia Favelle"
"Jodi","Lermit","Female",94,"30/01/1954",68,"N/A","Health","Mass Customer","N","Yes",10,"05 Corry Center",4021,"QLD","Australia",2,513,0.8415,"60-69","Jodi Lermit"
"Emelia","Ackwood","Female",72,"30/09/1988",33,"Senior Cost Accountant","Financial Services","Mass Customer","N","Yes",10,"1 South Street",4183,"QLD","Australia",9,515,0.839375,"30-39","Emelia Ackwood"
"Sofie","Worsfold","Female",87,"06/10/1954",67,"Environmental Tech","Retail","Mass Customer","N","Yes",9,"7 Maple Wood Plaza",4125,"QLD","Australia",6,520,0.8375,"60-69","Sofie Worsfold"
"Gretel","Paschke","Female",10,"29/05/1956",65,"Editor","Financial Services","Mass Customer","N","Yes",17,"72 Melrose Street",4074,"QLD","Australia",7,536,0.82500000000000007,"60-69","Gretel Paschke"
"Cord","Dunsmore","Male",12,"21/04/1999",23,"Internal Auditor","Manufacturing","Mass Customer","N","Yes",13,"596 Boyd Park",4301,"QLD","Australia",3,552,0.816,"20-29","Cord Dunsmore"
"Donn","Chaney","Male",15,"29/01/1951",71,"Research Assistant II","N/A","Mass Customer","N","No",13,"4 Schlimgen Trail",4701,"QLD","Australia",3,561,0.81015625,"70-79","Donn Chaney"
"Kamila","Parsonage","Female",80,"08/03/1954",68,"N/A","Property","Mass Customer","N","No",5,"31 Mccormick Court",4131,"QLD","Australia",8,562,0.81,"60-69","Kamila Parsonage"
"Barth","Sapshed","Male",4,"16/06/1994",27,"Executive Secretary","Financial Services","Mass Customer","N","Yes",13,"65 Milwaukee Lane",4520,"QLD","Australia",10,563,0.8075,"20-29","Barth Sapshed"
"Oswald","MacCarlich","Male",81,"24/11/1991",30,"Assistant Media Planner","Entertainment","Mass Customer","N","No",14,"16 Mosinee Place",4717,"QLD","Australia",1,568,0.8,"30-39","Oswald MacCarlich"
"Ailyn","Howgate","Female",66,"27/09/2001",20,"Electrical Engineer","Manufacturing","Mass Customer","N","Yes",2,"197 Northport Plaza",4213,"QLD","Australia",7,568,0.8,"20-29","Ailyn Howgate"
"Caitrin","Critten","Female",45,"29/01/1973",49,"Director of Sales","Manufacturing","Mass Customer","N","Yes",10,"25 Lakeland Point",4113,"QLD","Australia",7,603,0.7703125,"40-49","Caitrin Critten"
"Agna","Cowpe","Female",88,"05/03/1969",53,"N/A","Property","Mass Customer","N","Yes",7,"2 Main Lane",4114,"QLD","Australia",3,612,0.75703124999999993,"50-59","Agna Cowpe"
"Beverlee","Ungerechts","Female",49,"03/10/1973",48,"Civil Engineer","Manufacturing","Mass Customer","N","No",8,"602 Toban Center",4020,"QLD","Australia",7,617,0.75437499999999991,"40-49","Beverlee Ungerechts"
"Delcina","Hursey","Female",22,"26/12/1968",53,"N/A","Financial Services","Mass Customer","N","Yes",7,"804 Washington Point",4132,"QLD","Australia",4,620,0.75,"50-59","Delcina Hursey"
"Ewell","Paulusch","Male",31,"15/01/1998",24,"Engineer I","Manufacturing","Mass Customer","N","Yes",8,"8194 Lien Street",4032,"QLD","Australia",7,620,0.75,"20-29","Ewell Paulusch"
"Madison","Lars","Male",11,"19/01/1967",55,"Health Coach III","Health","Mass Customer","N","No",19,"9503 New Castle Street",4500,"QLD","Australia",9,620,0.75,"50-59","Madison Lars"
"Terrel","Keynd","Male",30,"20/04/1961",61,"Junior Executive","Manufacturing","Mass Customer","N","No",9,"65 David Pass",4221,"QLD","Australia",7,626,0.74375,"60-69","Terrel Keynd"
"Lissa","Gawn","Female",86,"21/09/1962",59,"Legal Assistant","Health","Mass Customer","N","Yes",17,"14183 Iowa Center",4503,"QLD","Australia",5,632,0.74,"50-59","Lissa Gawn"
"Kearney","Cuddehy","Male",88,"18/05/1997",24,"Marketing Assistant","Retail","Mass Customer","N","No",12,"98 Shoshone Road",4207,"QLD","Australia",6,634,0.73949999999999994,"20-29","Kearney Cuddehy"
"Shellysheldon","Bichard","Male",96,"06/01/1954",68,"Desktop Support Technician","Financial Services","Mass Customer","N","Yes",16,"7199 Springview Parkway",4503,"QLD","Australia",5,634,0.73949999999999994,"60-69","Shellysheldon Bichard"
"Sindee","Jasik","Female",18,"21/10/1942",79,"Social Worker","Health","Mass Customer","N","Yes",15,"0689 Melby Park",4030,"QLD","Australia",9,648,0.725,"70-79","Sindee Jasik"
"Lillis","Eshmade","Female",50,"12/10/1974",47,"Structural Analysis Engineer","Financial Services","Mass Customer","N","Yes",22,"46057 Harbort Hill",4304,"QLD","Australia",2,668,0.7054999999999999,"40-49","Lillis Eshmade"
"Sibby","Skinner","Female",25,"05/05/1981",40,"Accountant IV","Manufacturing","Mass Customer","N","Yes",12,"3 Sunbrook Alley",4178,"QLD","Australia",7,682,0.70000000000000007,"40-49","Sibby Skinner"
"Keenan","Moriarty","Male",67,"23/12/1994",27,"Actuary","Financial Services","Mass Customer","N","Yes",2,"077 Hansons Point",4075,"QLD","Australia",8,684,0.7,"20-29","Keenan Moriarty"
"Patrice","Pariss","Male",96,"15/06/1954",67,"VP Accounting","Financial Services","Mass Customer","N","No",9,"3745 Thierer Trail",4078,"QLD","Australia",5,691,0.69062499999999993,"60-69","Patrice Pariss"
"Suzy","Bussens","Female",44,"29/04/1973",48,"N/A","Financial Services","Mass Customer","N","No",13,"25 Oneill Alley",4102,"QLD","Australia",9,700,0.6875,"40-49","Suzy Bussens"
"Wilbert","O'Loughnan","Male",14,"18/05/1983",38,"Paralegal","Financial Services","Mass Customer","N","Yes",6,"22580 Doe Crossing Drive",4055,"QLD","Australia",9,708,0.68,"30-39","Wilbert O'Loughnan"
"Miran","Runchman","Female",47,"09/07/1975",46,"Nurse","Retail","Mass Customer","N","No",17,"6634 Old Gate Parkway",4304,"QLD","Australia",3,708,0.68,"40-49","Miran Runchman"
"Beatrix","McGivena","Female",26,"18/10/1966",55,"Assistant Manager","Health","Mass Customer","N","Yes",9,"6 Sutherland Parkway",4879,"QLD","Australia",10,715,0.67734375,"50-59","Beatrix McGivena"
"Mandi","Adamsson","Female",40,"07/04/1992",30,"Programmer Analyst I","Manufacturing","Mass Customer","N","Yes",5,"25 Westerfield Road",4165,"QLD","Australia",5,731,0.6640625,"30-39","Mandi Adamsson"
"Kylila","Basezzi","Female",94,"11/06/1945",76,"Assistant Manager","N/A","Mass Customer","N","Yes",9,"64 Armistice Point",4217,"QLD","Australia",9,733,0.66250000000000009,"70-79","Kylila Basezzi"
"Yardley","Matten","Male",35,"06/03/1991",31,"Junior Executive","Financial Services","Mass Customer","N","No",15,"74 Everett Court",4408,"QLD","Australia",2,733,0.66250000000000009,"30-39","Yardley Matten"
"Hamel","Curzey","Male",11,"04/04/1990",32,"Structural Engineer","N/A","Mass Customer","N","Yes",9,"6936 Homewood Avenue",4000,"QLD","Australia",7,733,0.66250000000000009,"30-39","Hamel Curzey"
"Fancie","Woofendell","Female",68,"17/09/1966",55,"Research Nurse","Health","Mass Customer","N","Yes",6,"8 Crowley Center",4212,"QLD","Australia",7,733,0.66250000000000009,"50-59","Fancie Woofendell"
"Agnola","Batterson","Female",86,"03/01/1980",42,"Physical Therapy Assistant","Financial Services","Mass Customer","N","No",7,"216 Bultman Park",4305,"QLD","Australia",3,747,0.6545,"40-49","Agnola Batterson"
"Riki","Wandtke","Female",25,"12/05/1962",59,"Librarian","Entertainment","Mass Customer","N","Yes",5,"435 Mitchell Street",4115,"QLD","Australia",7,748,0.65078125,"50-59","Riki Wandtke"
"Mikol","Eck","Male",99,"25/07/1975",46,"VP Marketing","Financial Services","Mass Customer","N","Yes",21,"15621 Twin Pines Crossing",4130,"QLD","Australia",9,748,0.65078125,"40-49","Mikol Eck"
"Petr","Westman","Male",5,"02/11/1987",34,"Nurse Practicioner","Property","Mass Customer","N","No",7,"98454 Dapin Park",4556,"QLD","Australia",7,760,0.6375,"30-39","Petr Westman"
"Frans","Idale","Male",1,"03/10/1969",52,"Nurse","Manufacturing","Mass Customer","N","No",10,"96 Hermina Place",4350,"QLD","Australia",2,795,0.60349999999999993,"50-59","Frans Idale"
"Bryon","Goundry","Male",79,"05/02/1951",71,"Marketing Manager","Manufacturing","Mass Customer","N","No",21,"005 Kensington Street",4165,"QLD","Australia",5,804,0.59500000000000008,"70-79","Bryon Goundry"
"Rikki","Chaffey","Male",69,"11/06/1945",76,"Chemical Engineer","Manufacturing","Mass Customer","N","No",20,"9 Spohn Way",4127,"QLD","Australia",1,810,0.58749999999999991,"70-79","Rikki Chaffey"
"Rowen","Sollas","Male",38,"23/04/1960",62,"Dental Hygienist","Health","Mass Customer","N","No",5,"4 Anzinger Street",4556,"QLD","Australia",8,817,0.58649999999999991,"60-69","Rowen Sollas"
"Manny","Mandy","Male",36,"28/01/1977",45,"Account Representative III","Argiculture","Mass Customer","N","No",16,"6 Union Center",4280,"QLD","Australia",7,820,0.584375,"40-49","Manny Mandy"
"Jared","Fendlow","Male",79,"25/08/1963",58,"Media Manager II","Financial Services","Mass Customer","N","No",15,"6195 Bellgrove Lane",4211,"QLD","Australia",7,832,0.57500000000000007,"50-59","Jared Fendlow"
"Maris","Leete","Female",21,"14/04/1973",49,"Engineer IV","Retail","Mass Customer","N","No",7,"06 Main Alley",4300,"QLD","Australia",4,845,0.5631250000000001,"40-49","Maris Leete"
"Rosabelle","Godsmark","Female",60,"19/10/1995",26,"Executive Secretary","N/A","Mass Customer","N","Yes",3,"4871 Caliangt Hill",4102,"QLD","Australia",8,845,0.5631250000000001,"20-29","Rosabelle Godsmark"
"Brigg","Himsworth","Male",63,"10/10/1973",48,"N/A","Telecommunications","Mass Customer","N","Yes",9,"771 Union Crossing",4570,"QLD","Australia",6,882,0.5355,"40-49","Brigg Himsworth"
"Kelcie","Kingaby","Female",54,"24/03/2000",22,"Systems Administrator II","IT","Mass Customer","N","Yes",6,"0 Summit Center",4019,"QLD","Australia",4,893,0.520625,"20-29","Kelcie Kingaby"
"Dulce","Bradwell","Female",61,"03/07/1957",64,"Research Associate","Manufacturing","Mass Customer","N","No",20,"30 Lukken Point",4159,"QLD","Australia",9,926,0.48449999999999988,"60-69","Dulce Bradwell"
"Jacklin","Duchant","Female",77,"18/03/1940",82,"Legal Assistant","Argiculture","Mass Customer","N","No",17,"9 Memorial Road",4132,"QLD","Australia",4,939,0.4675,"80+","Jacklin Duchant"
"Angele","Cadore","Female",5,"06/09/1954",67,"Chief Design Engineer","N/A","Mass Customer","N","Yes",7,"85894 Amoth Court",4125,"QLD","Australia",7,939,0.4675,"60-69","Angele Cadore"
"Philbert","Bangs","Male",67,"03/03/1966",56,"Environmental Specialist","IT","Mass Customer","N","Yes",6,"02643 Moose Court",4500,"QLD","Australia",7,951,0.4505,"50-59","Philbert Bangs"
